feature,mean_importance
Year,-0.000581954743994384
Duration_L,0.0003891741498827983
PPDCategory Type_B,0.0013359517199243553
Old/New_Y,0.0019519482094526586
District,0.004637566384628633
Month,0.005889222615090395
Property Type_O,0.007742052079634021
Property Type_F,0.009984074223233875
County,0.011108540503633746
Property Type_T,0.016519925047859173
Old/New_N,0.019491501056596285
Duration_F,0.01999095107797668
Property Type_S,0.020722505069941256
PPDCategory Type_A,0.023557652674155848
Postcode,0.02498165484097551
Add3,0.0458546628942645
Property Type_D,0.09827858215105587
Add2,0.4065300145383257
