feature,mean_importance
Duration_L,0.0011695566582435313
PPDCategory Type_B,0.0032239043172948567
District,0.0035688892033717166
Month,0.0036779553889214945
Property Type_O,0.004558675510878829
Old/New_Y,0.008042507933986897
County,0.009439869603521434
Year,0.014969071530927936
Postcode,0.015741953687074817
Property Type_S,0.017961097156447215
Duration_F,0.025992317410429955
Old/New_N,0.026425685338599302
PPDCategory Type_A,0.030164732781512816
Property Type_T,0.0378617732085179
Property Type_F,0.059250758684255535
Property Type_D,0.09656479827811085
Add3,0.1953723681268802
Add2,0.2752464090880927
