feature,weight
intercept,0.21153544518810122
UsedProperty,-0.46896613181255725
Property Size Description,0.015768311788285083
Year,0.017484609922240428
Month,-0.006790680051267383
Town,-0.18777838828826213
Apartment,-0.4253472014328921
Neighbourhood,0.6589445338349407
Eircode,0.41144921131457884
Latitude,0.06771892455296609
Longitude,-0.019401456718237838
DistanceIFSC,-0.260729491331401
DistanceSchool,-0.027492650042781782
DistancePark,0.2448471397329054
DistanceSecSchool,-0.051699025495072236
