feature,mean_importance
County,-0.0005447794139784689
PPDCategory Type_B,0.0
Duration_L,0.0
Old/New_Y,0.0
District,0.00012159201033957734
Property Type_S,0.004460349497252292
Month,0.006865908090145478
Property Type_T,0.007369795935350698
Year,0.016650456672331716
Old/New_N,0.021191878623810556
Property Type_O,0.02267340230975845
Postcode,0.02995799149807977
PPDCategory Type_A,0.04042944390986715
Duration_F,0.040969112079190004
Property Type_F,0.042018554986867476
Add3,0.13832001974148728
Property Type_D,0.19386178811784122
Add2,0.4192139134040153
