feature,mean_importance
District,-0.0004267102084943075
PPDCategory Type_B,0.0
Duration_L,0.0
Old/New_Y,0.0
County,0.001875534772073828
Property Type_T,0.006797995290170456
Year,0.009095660308153009
Property Type_S,0.013656875382467848
Month,0.015191529665855208
Property Type_F,0.016161405168511056
Old/New_N,0.029723478004468885
PPDCategory Type_A,0.04156672266909459
Duration_F,0.04268088854930128
Postcode,0.04566979606544669
Property Type_O,0.05817123980898381
Add3,0.11093262362642571
Property Type_D,0.1631026429700709
Add2,0.4892428998604338
