feature,mean_importance
Property Type_T,-2.5863626647693037e-06
County,-1.6653345369377348e-16
Year,-1.6653345369377348e-16
Month,-1.554312234475219e-16
Old/New_Y,-1.554312234475219e-16
District,2.0854066404529804e-05
Duration_F,2.533353248642678e-05
Property Type_S,4.894742433099175e-05
Old/New_N,0.00017114501162609485
PPDCategory Type_A,0.0009155589861190472
Duration_L,0.001345383755770735
Property Type_O,0.001395814980364285
PPDCategory Type_B,0.0015409852214086194
Property Type_F,0.0047284237590468955
Postcode,0.00688873095004836
Add3,0.02712746845554346
Property Type_D,0.19498750084362068
Add2,0.562223237448832
