feature,shap_importance
Add2,0.43746000837329146
Property Type_D,0.2672912376132142
Add3,0.06678473745075164
Postcode,0.022364898443625394
Property Type_F,0.011219104266720141
PPDCategory Type_B,0.00506486869688416
PPDCategory Type_A,0.00388572880965326
Duration_L,0.0033127857128067
Property Type_O,0.0007058498300245403
Property Type_T,0.00032494670919528784
Property Type_S,0.0002876636164230291
Old/New_N,0.00018997097802882562
Duration_F,0.00013720295312614082
District,2.1193270843430866e-05
Year,0.0
Month,0.0
County,0.0
Old/New_Y,0.0
