name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,0.572214881868936,1.88
2_DecisionTree,Decision Tree,rmse,0.311896398685344,8.72
3_Linear,Linear,rmse,0.33021656155015705,4.88
4_Default_Xgboost,Xgboost,rmse,0.26998470696712673,7.95
5_Default_NeuralNetwork,Neural Network,rmse,0.29637437326822386,4.46
6_Default_RandomForest,Random Forest,rmse,0.29362006842569616,8.87
Ensemble,Ensemble,rmse,0.2688271880686554,0.69
