feature,mean_importance
PPDCategory Type_B,0.0
Duration_L,0.0
Old/New_Y,0.0
County,0.0
Property Type_S,0.0017493256594292572
District,0.002373246399518725
Month,0.004368073512592452
Property Type_T,0.00669635417115737
Year,0.024640995363691444
Old/New_N,0.030048234001402906
Property Type_O,0.03912603903046454
PPDCategory Type_A,0.039947406658396155
Property Type_F,0.050247273745018514
Postcode,0.06049390061553156
Duration_F,0.07580565760394196
Add3,0.13705677140051126
Property Type_D,0.16367910007335335
Add2,0.41679960741289496
