feature,mean_importance
PPDCategory Type_B,-0.0017468557959956388
Duration_L,0.004110244292407472
Old/New_Y,0.004910709219961262
District,0.011858964321841924
Old/New_N,0.01564883663481209
Property Type_F,0.019144194949746174
County,0.01930511434265699
Property Type_O,0.01973790216895851
Month,0.020665476703183437
Year,0.024167001099106057
Duration_F,0.028230060310665085
PPDCategory Type_A,0.03358278563026923
Postcode,0.03680882827883012
Property Type_T,0.04593740948912565
Property Type_S,0.04734467050322767
Add3,0.06713647908529893
Property Type_D,0.15832640925898994
Add2,0.4475968010420438
