name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,0.4990332992439006,0.65
2_DecisionTree,Decision Tree,rmse,0.30364169191136914,21.02
3_Linear,Linear,rmse,0.3106013053322484,5.01
4_Default_Xgboost,Xgboost,rmse,0.27957502657308064,7.32
5_Default_NeuralNetwork,Neural Network,rmse,0.2806649664773598,2.42
6_Default_RandomForest,Random Forest,rmse,0.2853632068403944,7.78
Ensemble,Ensemble,rmse,0.272921968424041,0.7
