feature,shap_importance
Add2,0.46138551040896914
Property Type_D,0.2049047222405506
Add3,0.06294991877150717
Property Type_O,0.020033436857844495
PPDCategory Type_B,0.017419764679025868
Postcode,0.012775572868871229
Property Type_F,0.002375935525558311
Month,0.0023643814408451525
PPDCategory Type_A,0.00185896616612898
Property Type_S,0.0005049414932689258
Old/New_N,0.0003724664992062816
Year,0.0001732390068092866
County,0.0
District,0.0
Property Type_T,0.0
Old/New_Y,0.0
Duration_F,0.0
Duration_L,0.0
