feature,mean_importance
PPDCategory Type_B,-0.0018344786798133006
District,0.002052043280637572
Duration_L,0.005635816139979877
Month,0.008454813222466018
Property Type_O,0.013081843871229192
County,0.013512054272010776
Old/New_Y,0.018262191410762317
Old/New_N,0.021095916116416258
Year,0.03539643239906274
Duration_F,0.04125435626686168
PPDCategory Type_A,0.041536427776008134
Postcode,0.04450774364834974
Add3,0.07541727682267185
Property Type_T,0.08479619805995364
Property Type_S,0.09033002212111808
Property Type_F,0.12399368604735148
Property Type_D,0.13144477859627612
Add2,0.42467830694570347
