feature,mean_importance
Property Type_T,-3.3306690738754695e-17
Month,-2.2204460492503132e-17
District,0.0
County,4.172491564524705e-06
Old/New_N,1.2666336632272124e-05
Year,1.4478957583308194e-05
Old/New_Y,0.00016753441605036335
Duration_L,0.0001981412566252838
Property Type_S,0.00024377428833872728
Property Type_O,0.0004565028470426946
PPDCategory Type_B,0.00047189378889394006
Duration_F,0.0011675410077366499
Postcode,0.0019083113506062955
Property Type_F,0.003798532546933486
PPDCategory Type_A,0.004165738302638289
Add3,0.03707086292430117
Property Type_D,0.21151187431509602
Add2,0.5539508309690744
