feature,shap_importance
Add2,0.444185860608977
Property Type_D,0.26196603387932865
Add3,0.0920037851325356
PPDCategory Type_A,0.012638713721703146
Postcode,0.009644354227944782
Property Type_F,0.006061127768332906
Duration_F,0.004452331259608869
PPDCategory Type_B,0.0033032735281808387
Property Type_S,0.0012442997725138918
Duration_L,0.0008909213925393388
Property Type_O,0.0008467372089396659
Year,0.00013786588067612237
Old/New_Y,9.142660162771022e-05
Old/New_N,8.090998638964666e-05
County,6.362418862412798e-05
Month,0.0
Property Type_T,0.0
District,0.0
