feature,mean_importance
District,-0.0011757064338536293
PPDCategory Type_B,0.0
Duration_L,0.0
Old/New_Y,0.0
County,0.0013438109900306473
Property Type_T,0.008620623641053381
Property Type_S,0.017169939922167865
Year,0.019647753168964076
Property Type_F,0.022392501778282236
Month,0.02865439697297404
Old/New_N,0.03314540948006693
PPDCategory Type_A,0.059272873212369334
Postcode,0.06458836593765703
Property Type_O,0.06987188364245782
Duration_F,0.08014914071766513
Property Type_D,0.1478705268728233
Add3,0.1897354291542497
Add2,0.6576687235587617
